"id","name","form","type1","type2","Total","hp","attack","defense","sp. atk","sp. def","speed","generation","description"
1,"Bulbasaur",,"Grass","Poison",318,45,49,49,65,65,45,1,"A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon."
2,"Ivysaur",,"Grass","Poison",405,60,62,63,80,80,60,1,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
3,"Venusaur",,"Grass","Poison",525,80,82,83,100,100,80,1,"The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight."
4,"Charmander",,"Fire",,309,39,52,43,60,50,65,1,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
5,"Charmeleon",,"Fire",,405,58,64,58,80,65,80,1,"When it swings its burning tail, it elevates the temperature to unbearably high levels."
6,"Charizard",,"Fire","Flying",534,78,84,78,109,85,100,1,"Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally."
7,"Squirtle",,"Water",,314,44,48,65,50,64,43,1,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
8,"Wartortle",,"Water",,405,59,63,80,65,80,58,1,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
9,"Blastoise",,"Water",,530,79,83,100,85,105,78,1,"A brutal Pokémon with pressurized water jets on its shell. They are used for high-speed tackles."
10,"Caterpie",,"Bug",,195,45,30,35,20,20,45,1,"Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls."
11,"Metapod",,"Bug",,205,50,20,55,25,25,30,1,"This Pokémon is vulnerable to attack while its shell is soft, exposing its weak and tender body."
12,"Butterfree",,"Bug","Flying",395,60,45,50,90,80,70,1,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
13,"Weedle",,"Bug","Poison",195,40,35,30,20,20,50,1,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
14,"Kakuna",,"Bug","Poison",205,45,25,50,25,25,35,1,"Almost incapable of moving, this Pokémon can only harden its shell to protect itself from predators."
15,"Beedrill",,"Bug","Poison",395,65,90,40,45,80,75,1,"Flies at high speed and attacks using the large venomous stingers on its forelegs and tail."
16,"Pidgey",,"Normal","Flying",251,40,45,40,35,35,56,1,"A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand."
17,"Pidgeotto",,"Normal","Flying",349,63,60,55,50,50,71,1,"Very protective of its sprawling territorial area, this Pokémon will fiercely peck at any intruder."
18,"Pidgeot",,"Normal","Flying",479,83,80,75,70,70,101,1,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp."
19,"Rattata",,"Normal",,253,30,56,35,25,35,72,1,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
20,"Raticate",,"Normal",,413,55,81,60,50,70,97,1,"It uses its whiskers to maintain its balance. It apparently slows down if they are cut off."
21,"Spearow",,"Normal","Flying",262,40,60,30,31,31,70,1,"Inept at flying high. However, it can fly around very fast to protect its territory."
22,"Fearow",,"Normal","Flying",442,65,90,65,61,61,100,1,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
23,"Ekans",,"Poison",,288,35,60,44,40,54,55,1,"Moves silently and stealthily. Eats the eggs of birds, such as Pidgey and Spearow, whole."
24,"Arbok",,"Poison",,448,60,95,69,65,79,80,1,"It is rumored that the ferocious warning markings on its belly differ from area to area."
25,"Pikachu",,"Electric",,320,35,55,40,50,50,90,1,"When several of these Pokémon gather, their electricity could build and cause lightning storms."
26,"Raichu",,"Electric",,485,60,90,55,90,80,110,1,"Its long tail serves as a ground to protect itself from its own high voltage power."
27,"Sandshrew",,"Ground",,300,50,75,85,20,30,40,1,"Burrows deep underground in arid locations far from water. It only emerges to hunt for food."
28,"Sandslash",,"Ground",,450,75,100,110,45,55,65,1,"Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape."
29,"Nidoran","Female","Poison",,275,55,47,52,40,40,41,1,"Although small, its venomous barbs render this Pokémon dangerous. The female has smaller horns."
30,"Nidorina",,"Poison",,365,70,62,67,55,55,56,1,"The female's horn develops slowly. Prefers physical attacks such as clawing and biting."
31,"Nidoqueen",,"Poison","Ground",505,90,92,87,75,85,76,1,"Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves."
32,"Nidoran","Male","Poison",,273,46,57,40,40,40,50,1,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom."
33,"Nidorino",,"Poison",,365,61,72,57,55,55,65,1,"An aggressive Pokémon that is quick to attack. The horn on its head secretes a powerful venom."
34,"Nidoking",,"Poison","Ground",505,81,102,77,85,75,85,1,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones."
35,"Clefairy",,"Fairy",,323,70,45,48,60,65,35,1,"Its magical and cute appeal has many admirers. It is rare and found only in certain areas."
36,"Clefable",,"Fairy",,483,95,70,73,95,90,60,1,"A timid fairy Pokémon that is rarely seen. It will run and hide the moment it senses people."
37,"Vulpix",,"Fire",,299,38,41,40,50,65,65,1,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older."
38,"Ninetales",,"Fire",,505,73,76,75,81,100,100,1,"Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse."
39,"Jigglypuff",,"Normal","Fairy",270,115,45,20,45,25,20,1,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep."
40,"Wigglytuff",,"Normal","Fairy",435,140,70,45,85,50,45,1,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size."
41,"Zubat",,"Poison","Flying",245,40,45,35,30,40,55,1,"Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets."
42,"Golbat",,"Poison","Flying",455,75,80,70,65,75,90,1,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly."
43,"Oddish",,"Grass","Poison",320,45,50,55,75,65,30,1,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
44,"Gloom",,"Grass","Poison",395,60,65,70,85,75,40,1,"The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey."
45,"Vileplume",,"Grass","Poison",490,75,80,85,110,90,50,1,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
46,"Paras",,"Bug","Grass",285,35,70,55,45,55,25,1,"Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host."
47,"Parasect",,"Bug","Grass",405,60,95,80,60,80,30,1,"A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places."
48,"Venonat",,"Bug","Poison",305,60,55,50,40,55,45,1,"Lives in the shadows of tall trees where it eats insects. It is attracted by light at night."
49,"Venomoth",,"Bug","Poison",450,70,65,60,90,75,90,1,"The powdery scales on its wings are hard to remove. They also contain poison that leaks out on contact."
50,"Diglett",,"Ground",,265,10,55,25,35,45,95,1,"Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground."
51,"Dugtrio",,"Ground",,425,35,80,50,50,70,120,1,"A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground."
52,"Meowth",,"Normal",,290,40,45,35,40,40,90,1,"Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change."
53,"Persian",,"Normal",,440,65,70,60,65,65,115,1,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
54,"Psyduck",,"Water",,320,50,52,48,65,50,55,1,"While lulling its enemies with its vacant look, this wily Pokémon will use psychokinetic powers."
55,"Golduck",,"Water",,500,80,82,78,95,80,85,1,"Often seen swimming elegantly by lakeshores. It is often mistaken for the Japanese monster, Kappa."
56,"Mankey",,"Fighting",,305,40,80,35,35,45,70,1,"Extremely quick to anger. It could be docile one moment, then thrashing away the next instant."
57,"Primeape",,"Fighting",,455,65,105,60,60,70,95,1,"Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught."
58,"Growlithe",,"Fire",,350,55,70,45,70,50,60,1,"Very protective of its territory. It will bark and bite to repel intruders from its space."
59,"Arcanine",,"Fire",,555,90,110,80,100,80,95,1,"A Pokémon that has been admired since the past for its beauty. It runs agilely as if on wings."
60,"Poliwag",,"Water",,300,40,50,40,40,40,90,1,"Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand."
61,"Poliwhirl",,"Water",,385,65,65,65,50,50,90,1,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy."
62,"Poliwrath",,"Water","Fighting",510,90,95,95,70,90,70,1,"An adept swimmer at both the front crawl and breaststroke. Easily overtakes the best human swimmers."
63,"Abra",,"Psychic",,310,25,20,15,105,55,90,1,"Using its ability to read minds, it will identify impending danger and teleport to safety."
64,"Kadabra",,"Psychic",,400,40,35,30,120,70,105,1,"It emits special alpha waves from its body that induce headaches just by being close by."
65,"Alakazam",,"Psychic",,500,55,50,45,135,95,120,1,"Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5,000."
66,"Machop",,"Fighting",,305,70,80,50,35,35,35,1,"Loves to build its muscles. It trains in all styles of martial arts to become even stronger."
67,"Machoke",,"Fighting",,405,80,100,70,50,60,45,1,"Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions."
68,"Machamp",,"Fighting",,505,90,130,80,65,85,55,1,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon."
69,"Bellsprout",,"Grass","Poison",300,50,75,35,70,30,40,1,"A carnivorous Pokémon that traps and eats bugs. It appears to use its root feet to replenish moisture."
70,"Weepinbell",,"Grass","Poison",390,65,90,50,85,45,55,1,"It spits out poison powder to immobilize the enemy and then finishes it with a spray of acid."
71,"Victreebel",,"Grass","Poison",490,80,105,65,100,60,70,1,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
72,"Tentacool",,"Water","Poison",335,40,40,35,50,100,70,1,"Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid."
73,"Tentacruel",,"Water","Poison",515,80,70,65,80,120,100,1,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey."
74,"Geodude",,"Rock","Ground",300,40,80,100,30,30,20,1,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them."
75,"Graveler",,"Rock","Ground",390,55,95,115,45,45,35,1,"Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction."
76,"Golem",,"Rock","Ground",495,80,120,130,55,65,45,1,"Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage."
77,"Ponyta",,"Fire",,410,50,85,55,65,65,90,1,"Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time."
78,"Rapidash",,"Fire",,500,65,100,70,80,80,105,1,"Just loves to run. If it sees something faster than itself, it will give chase at top speed."
79,"Slowpoke",,"Water","Psychic",315,90,65,65,40,40,15,1,"Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack."
80,"Slowbro",,"Water","Psychic",490,95,75,110,100,80,30,1,"The Shellder that is latched onto Slowpoke's tail is said to feed on the host's leftover scraps."
81,"Magnemite",,"Electric","Steel",325,25,35,70,95,55,45,1,"Uses antigravity to stay suspended. Appears without warning and uses Thunder Wave and similar moves."
82,"Magneton",,"Electric","Steel",465,50,60,95,120,70,70,1,"Formed by several Magnemite linked together. They frequently appear when sunspots flare up."
83,"Farfetch'd",,"Normal","Flying",352,52,90,55,58,62,60,1,"The plant stalk it holds is its weapon. The stalk is used like a sword to cut all sorts of things."
84,"Doduo",,"Normal","Flying",310,35,85,45,35,35,75,1,"A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints."
85,"Dodrio",,"Normal","Flying",460,60,110,70,60,60,110,1,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake."
86,"Seel",,"Water",,325,65,45,55,45,70,45,1,"The protruding horn on its head is very hard. It is used for bashing through thick ice."
87,"Dewgong",,"Water","Ice",475,90,70,80,70,95,70,1,"Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters."
88,"Grimer",,"Poison",,325,80,80,50,40,50,25,1,"Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories."
89,"Muk",,"Poison",,500,105,105,75,65,100,50,1,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison."
90,"Shellder",,"Water",,305,30,65,100,45,25,40,1,"Its hard shell repels any kind of attack. It is vulnerable only when its shell is open."
91,"Cloyster",,"Water","Ice",525,50,95,180,85,45,70,1,"When attacked, it launches its horns in quick volleys. Its innards have never been seen."
92,"Gastly",,"Ghost","Poison",310,30,35,30,100,35,80,1,"Almost invisible, this gaseous Pokémon cloaks the target and puts it to sleep without notice."
93,"Haunter",,"Ghost","Poison",405,45,50,45,115,55,95,1,"Because of its ability to slip through block walls, it is said to be from another dimension."
94,"Gengar",,"Ghost","Poison",500,60,65,60,130,75,110,1,"Under a full moon, this Pokémon likes to mimic the shadows of people and laugh at their fright."
95,"Onix",,"Rock","Ground",385,35,45,160,30,45,70,1,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black."
96,"Drowzee",,"Psychic",,328,60,48,45,43,90,42,1,"Puts enemies to sleep, then eats their dreams. Occasionally gets sick from eating bad dreams."
97,"Hypno",,"Psychic",,483,85,73,70,73,115,67,1,"When it locks eyes with an enemy, it will use a mix of PSI moves such as Hypnosis and Confusion."
98,"Krabby",,"Water",,325,30,105,90,25,25,50,1,"Its pincers are not only powerful weapons, they are used for balance when walking sideways."
99,"Kingler",,"Water",,475,55,130,115,50,50,75,1,"The large pincer has 10,000-horsepower strength. However, it is so heavy, it is difficult to aim."
100,"Voltorb",,"Electric",,330,40,30,50,55,55,100,1,"Usually found in power plants. Easily mistaken for a Poké Ball, it has zapped many people."
101,"Electrode",,"Electric",,480,60,50,70,80,80,150,1,"It stores electric energy under very high pressure. It often explodes with little or no provocation."
102,"Exeggcute",,"Grass","Psychic",325,60,40,80,60,45,40,1,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
103,"Exeggutor",,"Grass","Psychic",530,95,95,85,125,65,55,1,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an Exeggcute."
104,"Cubone",,"Ground",,320,50,50,95,40,50,35,1,"Because it never removes its skull helmet, no one has ever seen this Pokémon's real face."
105,"Marowak",,"Ground",,425,60,80,110,50,80,45,1,"Small and weak, this Pokémon is adept with its bone club. It has grown more vicious over the ages."
106,"Hitmonlee",,"Fighting",,455,50,120,53,35,110,87,1,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides."
107,"Hitmonchan",,"Fighting",,455,50,105,79,35,110,76,1,"While apparently doing nothing, it fires punches in lightning-fast volleys that are impossible to see."
108,"Lickitung",,"Normal",,385,90,55,75,60,75,30,1,"Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies."
109,"Koffing",,"Poison",,340,40,65,95,60,45,35,1,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning."
110,"Weezing",,"Poison",,490,65,90,120,85,70,60,1,"Where two kinds of poison gases meet, two Koffing can fuse into a Weezing over many years."
111,"Rhyhorn",,"Ground","Rock",345,80,85,95,30,30,25,1,"Its massive bones are 1,000 times harder than human bones. It can easily knock a trailer flying."
112,"Rhydon",,"Ground","Rock",485,105,130,120,45,45,40,1,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees."
113,"Chansey",,"Normal",,450,250,5,5,35,105,50,1,"A rare and elusive Pokémon that is said to bring happiness to those who manage to get it."
114,"Tangela",,"Grass",,435,65,55,115,100,40,60,1,"The whole body is swathed with wide vines that are similar to seaweed. The vines sway as it walks."
115,"Kangaskhan",,"Normal",,490,105,95,80,40,80,90,1,"The infant rarely ventures out of its mother's protective pouch until it is 3 years old."
116,"Horsea",,"Water",,295,30,40,70,70,25,60,1,"Known to shoot down flying bugs with precision blasts of ink from the surface of the water."
117,"Seadra",,"Water",,440,55,65,95,95,45,85,1,"Capable of swimming backwards by rapidly flapping its wing-like pectoral fins and stout tail."
118,"Goldeen",,"Water",,320,45,67,60,35,50,63,1,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen."
119,"Seaking",,"Water",,450,80,92,65,65,80,68,1,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks."
120,"Staryu",,"Water",,340,30,45,55,70,55,85,1,"An enigmatic Pokémon that can effortlessly regenerate any appendage it loses in battle."
121,"Starmie",,"Water","Psychic",520,60,75,85,100,85,115,1,"Its central core glows with the seven colors of the rainbow. Some people value the core as a gem."
122,"Mr. Mime",,"Psychic","Fairy",460,40,45,65,100,120,90,1,"If interrupted while it is miming, it will slap around the offender with its broad hands."
